Chart,Music,Image,AspectRatio,ScaleRatio,GlobalAlpha,Name,Level,Illustrator,Designer
谱面,音乐,图片,宽高比,按键缩放,背景变暗,名称,等级,曲绘,谱师
Sigma (Haocore Mix) ~ 105秒の伝説 ~.json,Sigma (Haocore Mix) ~ 105秒の伝説 ~.wav,Sigma (Haocore Mix) ~ 105秒の伝説 ~.png,,,,Sigma (Haocore Mix) ~ 105秒の伝説 ~,SP Lv.?,~天利利利利利利~,Barbari...太长了后面不写了
